icao,lat,lon,name,country,type,tz
AYAH,-7.92584,142.34346,Ali Airstrip,PG,s,Pacific/Port_Moresby
AYAI,-3.14361,142.34681,Aitape Airport,PG,s,Pacific/Port_Moresby
AYAJ,-5.96149,143.06040,Ambua Airstrip,PG,s,Pacific/Port_Moresby
AYAK,-7.34278,141.26750,Aiambak Airport,PG,s,Pacific/Port_Moresby
AYAM,-3.58600,141.21433,Amanab Airport,PG,s,Asia/Jayapura
AYAN,-7.13722,145.74472,Andakombe Airport,PG,s,Pacific/Port_Moresby
AYAO,-5.14570,144.73070,Aiome Airport,PG,s,Pacific/Port_Moresby
AYAQ,-5.38167,143.92472,Kompiam Airport,PG,s,Pacific/Port_Moresby
AYAT,-4.21567,142.82317,Ambunti Airport,PG,s,Pacific/Port_Moresby
AYAU,-5.49510,142.51370,Arou Airstrip,PG,s,Pacific/Port_Moresby
AYAV,-3.77718,142.62267,Arkosame Airstrip,PG,s,Pacific/Port_Moresby
AYAW,-8.01341,142.75210,Awaba Airport,PG,s,Pacific/Port_Moresby
AYAX,-7.35081,146.19399,Aseki Airport,PG,s,Pacific/Port_Moresby
AYAY,-6.33806,145.90417,Aiyura Airport,PG,s,Pacific/Port_Moresby
AYAZ,-8.60531,147.59274,Asimba Airstrip,PG,s,Pacific/Port_Moresby
AYBA,-7.49695,144.82176,Baimuru Airport,PG,m,Pacific/Port_Moresby
AYBB,-5.26850,142.09700,Bak Airstrip,PG,s,Pacific/Port_Moresby
AYBC,-5.86361,146.49250,Bambu Airport,PG,s,Pacific/Port_Moresby
AYBD,-9.10778,147.66672,Bodinumu Airport,PG,s,Pacific/Port_Moresby
AYBE,-9.61850,148.74632,Boure Airstrip,PG,s,Pacific/Port_Moresby
AYBF,-7.84850,143.24330,Bamu Airport,PG,s,Pacific/Port_Moresby
AYBG,-6.34722,146.94222,Baindoung Airport,PG,s,Pacific/Port_Moresby
AYBH,-8.85806,141.25944,Bensbach Airport,PG,s,Asia/Jayapura
AYBI,-3.02167,141.16528,Bewani Airport,PG,s,Asia/Jayapura
AYBJ,-5.36472,144.69047,Bank Airstrip,PG,s,Pacific/Port_Moresby
AYBK,-5.42230,154.67270,Buka Airport,PG,m,Pacific/Bougainville
AYBL,-5.33056,151.00800,Bialla Airport,PG,s,Pacific/Port_Moresby
AYBM,-8.05000,142.93300,Balimo Airport,PG,m,Pacific/Port_Moresby
AYBN,-6.89124,143.68308,Baina Airstrip,PG,s,Pacific/Port_Moresby
AYBO,-6.37317,144.63700,Bomai Airport,PG,s,Pacific/Port_Moresby
AYBP,-7.74361,147.02056,Bapi Airstrip,PG,s,Pacific/Port_Moresby
AYBQ,-5.52639,141.74458,Biangabip Airport,PG,s,Pacific/Port_Moresby
AYBR,-7.66930,146.75940,Biaru Airport,PG,s,Pacific/Port_Moresby
AYBS,-5.38825,145.44739,Begesin Airstrip,PG,s,Pacific/Port_Moresby
AYBT,-6.55186,143.94391,Batri Airstrip,PG,s,Pacific/Port_Moresby
AYBU,-7.21629,146.64954,Bulolo Airport,PG,s,Pacific/Port_Moresby
AYBW,-2.61821,141.09197,Blackwara Airport,PG,s,Asia/Jayapura
AYBX,-7.34050,144.54770,Wowobo Airstrip,PG,s,Pacific/Port_Moresby
AYBY,-6.83847,145.87321,Wuyabo Airstrip,PG,s,Pacific/Port_Moresby
AYBZ,-9.64250,149.30389,Biniguni Airport,PG,s,Pacific/Port_Moresby
AYCB,-4.80662,144.71500,Chungribu Airport,PG,s,Pacific/Port_Moresby
AYCG,-5.45523,148.42229,Cape Gloucester Airport,PG,s,Pacific/Port_Moresby
AYCH,-6.02429,144.97099,Chimbu Airport,PG,m,Pacific/Port_Moresby
AYCN,-4.32865,143.74058,Changriwa Airstrip,PG,s,Pacific/Port_Moresby
AYCS,-10.56278,150.69069,China Strait Airstrip,PG,s,
AYDA,-5.75319,141.99361,Dahamo Airstrip,PG,s,Pacific/Port_Moresby
AYDB,-6.30861,141.90556,Debepare Airport,PG,s,Pacific/Port_Moresby
AYDD,-6.63050,144.63830,Dobu Airstrip,PG,s,Pacific/Port_Moresby
AYDE,-6.14472,147.10722,Derim Airport,PG,s,Pacific/Port_Moresby
AYDI,-5.74222,145.22750,Bundi Airport,PG,s,Pacific/Port_Moresby
AYDK,-4.62040,143.45160,Munduku Airport,PG,s,Pacific/Port_Moresby
AYDL,-8.53360,142.50490,Kondobol Airport,PG,s,Pacific/Port_Moresby
AYDM,-4.97308,141.90888,Duranmin Airstrip,PG,s,Pacific/Port_Moresby
AYDN,-6.15460,146.67720,Dinangat Airport,PG,s,Pacific/Port_Moresby
AYDO,-10.70090,150.72180,Doini Airport,PG,s,
AYDP,-5.35990,144.44620,Tsendiap Airstrip,PG,s,Pacific/Port_Moresby
AYDQ,-8.62980,142.21620,Dimisisi Airstrip,PG,s,Pacific/Port_Moresby
AYDR,-9.46185,147.92091,Dorobisoro Airport,PG,s,Pacific/Port_Moresby
AYDS,-5.18386,144.41217,Dusin Airport,PG,s,Pacific/Port_Moresby
AYDU,-9.08676,143.20799,Daru Airport,PG,m,Pacific/Port_Moresby
AYDW,-8.38020,142.44750,Dewara Airstrip,PG,s,Pacific/Port_Moresby
AYDY,-7.00770,145.79650,Sindeni Airstrip,PG,s,Pacific/Port_Moresby
AYEA,-8.27161,147.07190,Kerau Airport,PG,s,Pacific/Port_Moresby
AYEB,-9.44700,148.76280,Embessa Airport,PG,s,Pacific/Port_Moresby
AYED,-3.88399,141.79223,Edwaki Airport,PG,s,Pacific/Port_Moresby
AYEE,-1.65395,149.97577,Emirau Airport,PG,s,
AYEF,-9.15381,147.65981,Efogi Airport,PG,s,Pacific/Port_Moresby
AYEG,-6.48360,144.98600,Mengina Airstrip,PG,s,Pacific/Port_Moresby
AYEH,-8.71411,141.64444,Morehead Airport,PG,s,Pacific/Port_Moresby
AYEI,-9.07940,147.60200,Milei Airstrip,PG,s,Pacific/Port_Moresby
AYEK,-6.47440,141.01900,Membok Airstrip,PG,s,
AYEL,-5.04120,141.67790,Eliptamin Airport,PG,s,Pacific/Port_Moresby
AYEM,-4.81403,143.91064,Eleme Airstrip,PG,s,Pacific/Port_Moresby
AYEN,-6.91790,146.10530,Engati Airstrip,PG,s,Pacific/Port_Moresby
AYEO,-9.12340,148.04150,Emo River Airstrip,PG,s,Pacific/Port_Moresby
AYER,-8.25380,146.97470,Erume Airport,PG,s,Pacific/Port_Moresby
AYES,-6.13640,149.11830,Meselia Airport,PG,s,Pacific/Port_Moresby
AYET,-7.23726,141.10632,Bosset Airport,PG,s,Asia/Jayapura
AYEU,-1.56026,149.63036,Eloaua Airstrip,PG,s,
AYEV,-6.60646,143.90021,Erave Airport,PG,s,Pacific/Port_Moresby
AYEW,-6.28418,147.58237,Siwea Airport,PG,s,Pacific/Port_Moresby
AYEY,-4.06210,142.66090,Mirsey Airstrip,PG,s,Pacific/Port_Moresby
AYEZ,-4.58706,142.33569,Moropote Airstrip,PG,s,Pacific/Port_Moresby
AYFA,-8.54928,147.08583,Fane Airport,PG,s,Pacific/Port_Moresby
AYFE,-5.20800,141.69880,Feramin Airport,PG,s,Pacific/Port_Moresby
AYFF,-7.16035,143.53132,Faia Airport,PG,s,Pacific/Port_Moresby
AYFI,-6.62175,147.85405,Finschhafen Airport,PG,s,Pacific/Port_Moresby
AYFK,-5.32830,144.89440,Foroko Airstrip,PG,s,Pacific/Port_Moresby
AYFO,-6.50960,143.07940,Fogomaiu Airstrip,PG,s,Pacific/Port_Moresby
AYFR,-4.61047,141.96014,Frieda River Airport,PG,s,Pacific/Port_Moresby
AYFS,-3.19830,141.47200,Fas Airstrip,PG,s,Asia/Jayapura
AYFU,-6.39330,142.44080,Fuma Airport,PG,s,Pacific/Port_Moresby
AYFW,-3.60050,141.76740,Kwieftim Airstrip,PG,s,Pacific/Port_Moresby
AYGA,-6.08169,145.39200,Goroka Airport,PG,m,Pacific/Port_Moresby
AYGC,-9.22630,148.49490,Gewoia Airport,PG,s,Pacific/Port_Moresby
AYGD,-6.64820,145.40030,Gimi Airstrip,PG,s,Pacific/Port_Moresby
AYGE,-4.10550,143.30560,Geigorobi Airstrip,PG,s,Pacific/Port_Moresby
AYGF,-8.12860,146.87220,Guari Airport,PG,s,Pacific/Port_Moresby
AYGG,-7.98071,147.21346,Garasa Airport,PG,s,Pacific/Port_Moresby
AYGH,-5.69570,146.11160,Guhu Airstrip,PG,s,Pacific/Port_Moresby
AYGI,-7.87563,147.14127,Garaina Airport,PG,s,Pacific/Port_Moresby
AYGJ,-9.22592,152.94435,Guasopa Airport,PG,s,
AYGL,-5.52772,151.57333,Gonaili Airport,PG,s,Pacific/Port_Moresby
AYGM,-6.80309,145.77587,Gema Airstrip,PG,s,Pacific/Port_Moresby
AYGN,-10.31150,150.33400,Gurney Airport,PG,m,
AYGO,-4.91360,144.49000,Gokto Airstrip,PG,s,Pacific/Port_Moresby
AYGP,-6.05320,145.95905,Gusap Airport,PG,s,Pacific/Port_Moresby
AYGQ,-5.25900,142.23300,Gawa Airstrip,PG,s,Pacific/Port_Moresby
AYGR,-8.80454,148.30901,Girua Airport,PG,m,Pacific/Port_Moresby
AYGS,-6.10280,141.73930,Gasuke Airport,PG,s,Pacific/Port_Moresby
AYGT,-6.27111,150.33099,Gasmata Island Airport,PG,s,Pacific/Port_Moresby
AYGU,-3.56050,142.21731,Anguganak Airport,PG,s,Pacific/Port_Moresby
AYGV,-3.90224,141.17052,Green River Airport,PG,s,Asia/Jayapura
AYGW,-6.46584,145.08397,Guwasa Airport,PG,s,Pacific/Port_Moresby
AYGX,-9.00210,148.23640,Gora Airstrip,PG,s,Pacific/Port_Moresby
AYGY,-6.87000,142.75370,Guavi Airstrip,PG,s,Pacific/Port_Moresby
AYHA,-6.70742,144.99740,Haia Airport,PG,s,Pacific/Port_Moresby
AYHB,-6.32000,142.48930,Habi Airport,PG,s,Pacific/Port_Moresby
AYHE,-7.42230,146.42760,Heiweni Airport,PG,s,Pacific/Port_Moresby
AYHF,-3.69838,143.05790,Hayfields Airport,PG,s,Pacific/Port_Moresby
AYHH,-6.24570,142.17710,Honinabi Airport,PG,s,Pacific/Port_Moresby
AYHJ,-5.19140,142.95950,Hewa Airstrip,PG,s,Pacific/Port_Moresby
AYHK,-5.46385,150.40733,Hoskins Airport,PG,m,Pacific/Port_Moresby
AYHL,-6.60000,142.35020,Hesalibi Airstrip,PG,s,Pacific/Port_Moresby
AYHN,-6.66710,146.00000,Habina Airstrip,PG,s,Pacific/Port_Moresby
AYHO,-6.94060,143.05900,Haivaro Airport,PG,s,Pacific/Port_Moresby
AYHQ,-4.29940,142.23050,Hauna Airstrip,PG,s,Pacific/Port_Moresby
AYHT,-4.58450,141.57420,Hotmin Airstrip,PG,s,Asia/Jayapura
AYHU,-7.39299,146.00349,Hawabango Airport,PG,s,Pacific/Port_Moresby
AYHW,-5.72190,141.32050,Haewenai Airstrip,PG,s,
AYHX,-6.62290,145.19720,Herowena Airstrip,PG,s,Pacific/Port_Moresby
AYHY,-6.27340,142.70610,Huya Airstrip,PG,s,Pacific/Port_Moresby
AYIA,-4.49972,154.22600,Nissan Island Airport,PG,s,Pacific/Port_Moresby
AYIB,-4.68280,141.03160,Ibil Airstrip,PG,s,
AYID,-6.22663,147.24400,Indagen Airport,PG,s,Pacific/Port_Moresby
AYII,-6.75240,146.10720,Imane Airport,PG,s,Pacific/Port_Moresby
AYIM,-5.67100,141.03000,Kungim Airport,PG,s,
AYIN,-4.91660,141.15480,Busilmin Airstrip,PG,s,
AYIO,-3.32800,141.15730,Imonda Airport,PG,s,Asia/Jayapura
AYIP,-5.03264,143.87112,Iropena Airstrip,PG,s,Pacific/Port_Moresby
AYIQ,-6.30573,155.72825,Aropa Airport,PG,s,Pacific/Bougainville
AYIR,-4.63160,142.89130,Inaru Airstrip,PG,s,Pacific/Port_Moresby
AYIS,-5.97810,146.61975,Isan Airstrip,PG,s,Pacific/Port_Moresby
AYIT,-4.24180,141.52340,Iteri Airstrip,PG,s,Asia/Jayapura
AYIU,-6.27820,143.99440,Ialibu Airport,PG,s,Pacific/Port_Moresby
AYIW,-8.28360,142.86970,Wasua Airport,PG,s,Pacific/Port_Moresby
AYIX,-4.68952,149.44011,Witu Airport,PG,s,Pacific/Port_Moresby
AYIY,-4.90306,141.62083,Miyanmin Airport,PG,s,
AYJE,-5.23700,144.60070,Yomneri Airstrip,PG,s,Pacific/Port_Moresby
AYJO,-8.52890,147.46030,Yongai Airport,PG,s,Pacific/Port_Moresby
AYJS,-4.74708,145.00708,Josephstaal Airport,PG,s,Pacific/Port_Moresby
AYJW,-4.18203,141.19829,Wauru Airstrip,PG,s,Asia/Jayapura
AYKA,-8.50582,151.08099,Losuia Airport,PG,s,
AYKB,-6.15547,147.19147,Kabwum,PG,s,Pacific/Port_Moresby
AYKC,-6.19217,149.54783,Kandrian Airport,PG,s,Pacific/Port_Moresby
AYKD,-7.64925,145.95694,Kamina Airport,PG,s,Pacific/Port_Moresby
AYKG,-5.38830,142.49770,Kopiago Airport,PG,s,Pacific/Port_Moresby
AYKH,-8.15069,146.83400,Kamulai Airport,PG,s,Pacific/Port_Moresby
AYKI,-6.12571,141.28200,Kiunga Airport,PG,s,
AYKJ,-5.29030,144.70720,Kanainj Airport,PG,s,Pacific/Port_Moresby
AYKK,-7.42438,144.25008,Kikori Airport,PG,s,Pacific/Port_Moresby
AYKL,-3.75000,142.59000,Kafle Airstrip,PG,s,Pacific/Port_Moresby
AYKM,-7.96361,145.77100,Kerema Airport,PG,m,Pacific/Port_Moresby
AYKN,-8.69170,146.75660,Kubuna Airstrip,PG,s,Pacific/Port_Moresby
AYKO,-8.88468,147.73096,Kokoda Airport,PG,s,Pacific/Port_Moresby
AYKQ,-9.13592,147.66944,Kagi Airport,PG,s,Pacific/Port_Moresby
AYKR,-4.55700,145.94040,Kar Kar Airport,PG,s,Pacific/Port_Moresby
AYKT,-7.50025,146.03383,Kaintiba Airport,PG,s,Pacific/Port_Moresby
AYKU,-7.13508,143.27611,Kuri Airport,PG,s,Pacific/Port_Moresby
AYKV,-2.57940,150.80800,Kavieng Airport,PG,m,Pacific/Port_Moresby
AYKW,-7.97701,142.82358,Kawito Airport,PG,s,Pacific/Port_Moresby
AYKY,-3.04361,152.62900,Londolovit Airport,PG,s,Pacific/Port_Moresby
AYKZ,-3.36874,143.55423,Kairiru Airstrip,PG,s,Pacific/Port_Moresby
AYLB,-5.72040,148.05660,Lab Lab Airport,PG,s,Pacific/Port_Moresby
AYLC,-6.74860,142.60370,Lake Campbell Airstrip,PG,s,Pacific/Port_Moresby
AYLE,-5.21920,151.39380,Lele Airstrip,PG,s,Pacific/Port_Moresby
AYLG,-5.83278,145.09722,Keglsugl Airport,PG,s,Pacific/Port_Moresby
AYLH,-4.13050,142.24950,Klauhau Airstrip,PG,s,Pacific/Port_Moresby
AYLI,-9.00653,142.69806,Kibuli Airstrip,PG,s,Pacific/Port_Moresby
AYLJ,-5.81904,149.30531,Lamogai Airstrip,PG,s,Pacific/Port_Moresby
AYLL,-5.53194,149.73417,Linga Linga Airport,PG,s,Pacific/Port_Moresby
AYLN,-7.22314,146.22708,Langimar Airport,PG,s,Pacific/Port_Moresby
AYLO,-6.33440,146.64580,Lowai Airport,PG,s,Pacific/Port_Moresby
AYLP,-6.39170,146.34340,Leron Plains Airport,PG,s,Pacific/Port_Moresby
AYLQ,-8.81860,143.13170,Lagoon Airstrip,PG,s,Pacific/Port_Moresby
AYLS,-8.27990,146.27650,Lese Airport,PG,s,Pacific/Port_Moresby
AYLT,-6.38461,147.36864,Lengbati Airport,PG,s,Pacific/Port_Moresby
AYLU,-3.47684,142.04129,Lumi Airport,PG,s,Pacific/Port_Moresby
AYLX,-5.36040,147.01770,Long Island Airport,PG,s,Pacific/Port_Moresby
AYLY,-9.15157,147.76232,Myola Airstrip,PG,s,Pacific/Port_Moresby
AYLZ,-4.03220,143.18310,Slai Airstrip,PG,s,Pacific/Port_Moresby
AYMA,-9.19080,147.62190,Manari Airport,PG,s,Pacific/Port_Moresby
AYMB,-7.74000,147.59000,Morobe Airport,PG,s,Pacific/Port_Moresby
AYMC,-7.21167,146.01936,Menyamya Airport,PG,s,Pacific/Port_Moresby
AYMD,-5.20708,145.78900,Madang Airport,PG,m,Pacific/Port_Moresby
AYMF,-6.50322,145.03266,Maimafu Airstrip,PG,s,Pacific/Port_Moresby
AYMG,-4.05206,141.98628,Magleri Airstrip,PG,s,Pacific/Port_Moresby
AYMH,-5.82821,144.29941,Mount Hagen Kagamuga Airport,PG,m,Pacific/Port_Moresby
AYMI,-6.47167,147.44114,Mindik Airport,PG,s,Pacific/Port_Moresby
AYMJ,-6.53222,147.65117,Makini Airport,PG,s,Pacific/Port_Moresby
AYMK,-5.73024,149.05658,Mok Airport,PG,s,Pacific/Port_Moresby
AYML,-6.28086,142.42077,Mougulu Airport,PG,s,Pacific/Port_Moresby
AYMN,-6.14774,143.65700,Mendi Airport,PG,m,Pacific/Port_Moresby
AYMO,-2.06189,147.42400,Momote Airport,PG,m,
AYMP,-8.07139,146.15547,Malalaua Airport,PG,s,Pacific/Port_Moresby
AYMQ,-8.70917,142.64972,Malam Airport,PG,s,Pacific/Port_Moresby
AYMR,-6.36333,143.23801,Moro Airport,PG,s,Pacific/Port_Moresby
AYMS,-10.68920,152.83800,Misima Island Airport,PG,s,
AYMU,-6.42648,142.76748,Muluma Airstrip,PG,s,Pacific/Port_Moresby
AYMV,-4.02343,153.65728,Malekolon Airport,PG,s,Pacific/Port_Moresby
AYMW,-6.97360,145.88490,Marawaka Airport,PG,s,Pacific/Port_Moresby
AYMX,-5.19695,144.19183,Mamusi Airstrip,PG,s,Pacific/Port_Moresby
AYMY,-3.31580,141.24610,Smok Airstrip,PG,s,Asia/Jayapura
AYMZ,-2.81139,151.99111,Mapua(Mabua) Airport,PG,s,Pacific/Port_Moresby
AYNA,-5.83700,146.45330,Nankina Airport,PG,s,Pacific/Port_Moresby
AYNB,-7.53889,145.90500,Kanabea Airport,PG,s,Pacific/Port_Moresby
AYNC,-9.14356,147.68425,Nadunumu Airport,PG,s,Pacific/Port_Moresby
AYND,-1.46056,143.06472,Aua Island Airport,PG,s,
AYNE,-6.56778,144.70306,Negarbo(Negabo) Airport,PG,s,Pacific/Port_Moresby
AYNF,-4.09159,142.59294,Nagri Airport,PG,s,Pacific/Port_Moresby
AYNG,-5.57778,151.79233,Manguna Airport,PG,s,Pacific/Port_Moresby
AYNH,-5.84273,146.11260,Nahu Airstrip,PG,s,Pacific/Port_Moresby
AYNI,-3.40750,154.73830,Nuguria Airstrip,PG,s,
AYNJ,-9.47375,148.32942,Namudi Airport,PG,s,Pacific/Port_Moresby
AYNM,-6.38190,146.98590,Kasonombe Airport,PG,s,Pacific/Port_Moresby
AYNN,-5.84061,143.50722,Kandep Airport,PG,s,Pacific/Port_Moresby
AYNO,-6.32183,145.07067,Nomane Airport,PG,s,Pacific/Port_Moresby
AYNP,-4.50431,144.23147,Momonup Airstrip,PG,s,Pacific/Port_Moresby
AYNS,-5.72430,147.86670,Bunsil Airport,PG,s,Pacific/Port_Moresby
AYNT,-6.72270,143.56360,Kantobo Airstrip,PG,s,Pacific/Port_Moresby
AYNU,-3.67677,142.48492,Nuku Airport,PG,s,Pacific/Port_Moresby
AYNX,-3.66950,152.43800,Namatanai Airport,PG,s,Pacific/Port_Moresby
AYNY,-6.24120,145.24240,Nambaiyufa Airport,PG,s,Pacific/Port_Moresby
AYNZ,-6.56799,146.72654,Nadzab Tomodachi International Airport,PG,l,Pacific/Port_Moresby
AYOA,-3.59800,141.36140,Kwomtari Airstrip,PG,s,Asia/Jayapura
AYOB,-7.59062,141.32426,Obo Airport,PG,s,Pacific/Port_Moresby
AYOD,-6.55070,145.97280,Obura Airstrip,PG,s,Pacific/Port_Moresby
AYOE,-6.22390,147.21520,Konge Airport,PG,s,Pacific/Port_Moresby
AYOF,-5.55667,141.03278,Okao Airport,PG,s,
AYOG,-6.46675,147.36417,Ogeranang Airport,PG,s,Pacific/Port_Moresby
AYOH,-4.70650,141.90060,Okisai Airstrip,PG,s,Pacific/Port_Moresby
AYOJ,-5.22610,142.22590,Oksapmin Airport,PG,s,Pacific/Port_Moresby
AYOK,-7.39840,145.88270,Komako Airport,PG,s,Pacific/Port_Moresby
AYOL,-5.73117,144.84600,Kol Airport,PG,s,Pacific/Port_Moresby
AYOM,-7.82778,147.08064,Omora Airport,PG,s,Pacific/Port_Moresby
AYOO,-6.06820,142.85980,Komo-Manda Airport,PG,s,Pacific/Port_Moresby
AYOP,-8.45072,147.20919,Kosipe Airport,PG,s,Pacific/Port_Moresby
AYOQ,-7.27140,143.59520,Komaio Airport,PG,s,Pacific/Port_Moresby
AYOS,-3.95220,143.17670,Kosimbi Airstrip,PG,s,Pacific/Port_Moresby
AYOU,-5.38170,144.63550,Kombaku Airstrip,PG,s,Pacific/Port_Moresby
AYOV,-5.38972,141.51528,Olsobip Airport,PG,s,
AYOW,-5.69520,142.74410,Koroba Airport,PG,s,Pacific/Port_Moresby
AYOX,-4.16150,141.24780,Moi Airstrip,PG,s,Asia/Jayapura
AYOY,-4.79473,151.69619,Open Bay Airport,PG,s,Pacific/Port_Moresby
AYOZ,-6.43040,145.09310,Kora Airstrip,PG,s,Pacific/Port_Moresby
AYPA,-7.08380,142.51400,Somokopa Airstrip,PG,s,Pacific/Port_Moresby
AYPB,-5.37241,142.97577,Paiela Airport,PG,s,Pacific/Port_Moresby
AYPC,-7.02260,141.56050,Pangoa Airport,PG,s,Asia/Jayapura
AYPD,-6.44514,147.51583,Pindiu Airport,PG,s,Pacific/Port_Moresby
AYPE,-4.67667,142.54014,April River Airport,PG,s,Pacific/Port_Moresby
AYPG,-6.38600,144.10840,Pangia Airport,PG,s,Pacific/Port_Moresby
AYPI,-6.37100,144.68390,Kapi Airstrip,PG,s,Pacific/Port_Moresby
AYPJ,-6.49917,143.51028,Pimaga Airport,PG,s,Pacific/Port_Moresby
AYPO,-7.97900,143.16940,Mapoda Airport,PG,s,Pacific/Port_Moresby
AYPQ,-9.74690,149.47660,Pumani Airport,PG,s,Pacific/Port_Moresby
AYPS,-4.54597,142.22107,Maposi Airstrip,PG,s,Pacific/Port_Moresby
AYPU,-6.47516,143.98722,Walluanda Airport,PG,s,Pacific/Port_Moresby
AYPW,-7.67206,143.12472,Panakawa Airport,PG,s,Pacific/Port_Moresby
AYPY,-9.44338,147.22000,Port Moresby Jacksons International Airport,PG,l,Pacific/Port_Moresby
AYQA,-4.59667,143.52250,Karawari Airstrip,PG,s,Pacific/Port_Moresby
AYQB,-6.96230,145.64480,Simbari Airstrip,PG,s,Pacific/Port_Moresby
AYQL,-4.77480,141.01330,Tumolbil Airport,PG,s,
AYQM,-6.80080,145.71340,Simogu Airstrip,PG,s,Pacific/Port_Moresby
AYQO,-8.30380,147.16590,Sopu Airport,PG,s,Pacific/Port_Moresby
AYQQ,-8.67436,147.26242,Ononge Airport,PG,s,Pacific/Port_Moresby
AYQR,-4.32391,141.37563,Sorimi Airstrip,PG,s,Asia/Jayapura
AYQS,-6.09080,147.59550,Sialum Airport,PG,s,Pacific/Port_Moresby
AYQU,-4.65810,144.60820,Tsumba Airstrip,PG,s,Pacific/Port_Moresby
AYQV,-3.99250,141.55370,Sinow Airstrip,PG,s,Asia/Jayapura
AYQW,-4.75080,142.36860,Sumwari Airstrip,PG,s,Pacific/Port_Moresby
AYRA,-8.06511,147.33203,Kira Airport,PG,s,Pacific/Port_Moresby
AYRD,-5.95944,151.17170,Rano Airstrip,PG,s,Pacific/Port_Moresby
AYRE,-9.97111,149.83222,Raba Raba Airport,PG,s,Pacific/Port_Moresby
